,title,class,sp_count,up_count,title_cha,title_word,cha_word,up_cha,up_word,bad_word
16817,Did Miley Cyrus and Liam Hemsworth secretly get married?,1,1,5,48,9,5.3,10,55,0
16818,Paris Jackson & Cara Delevingne Enjoy Night Out In Matching Outfits: They Have ‘Amazing Chemistry’,1,4,14,84,15,5.6,16,93,0
16819,Celebrities Join Tax March in Protest of Donald Trump,1,0,7,45,9,5.0,15,77,0
16820,Cindy Crawford's daughter Kaia Gerber wears a wig after dining with Harry Styles,1,1,6,68,13,5.2,8,46,0
16821,Full List of 2018 Oscar Nominations – Variety,1,0,5,38,8,4.8,13,62,0
16822,Here's What Really Happened When JFK Jr. Met Princess Diana,1,1,12,50,10,5.0,24,120,0
16823,Biggest celebrity scandals of 2016,1,0,1,30,5,6.0,3,20,0
16824,Caitlyn Jenner Addresses Rumored Romance With Sophia Hutchins,1,0,8,54,8,6.8,14,100,0
16825,Taylor Swift Reportedly Reacts To Tom Hiddleston’s Golden Globes Win,1,1,10,59,10,5.9,16,100,0
16826,"For The Love Of God, Why Can't Anyone Write Kate McKinnon A Good Movie Role?",1,2,16,62,15,4.1,25,106,0
16827,"Miley Cyrus, Liam Hemsworth Did NOT Get Married On Tybee Island, Despite Report",1,0,15,67,13,5.2,22,115,0
16828,Miley Cyrus Claims ‘Satan Is A Nice Guy; He’s Misunderstood’,1,4,10,51,10,5.1,19,100,0
16829,Selena Gomez Had The Perfect Response To News Of Justin Bieber’s Engagement,1,1,12,64,12,5.3,18,100,0
16830,Critics' Choice Awards 2018 Winners: The Complete List,1,2,7,47,8,5.9,14,87,0
16831,"Jennifer Aniston, Justin Theroux Not Starting Dog Fostering And Adoption Business",1,0,11,71,11,6.5,15,100,0
16832,"Angelina Jolie Can’t Get Over Heartbreak Of Losing Brad Pitt — Real Reason For Fury, Says Source",1,1,16,80,17,4.7,20,94,0
16833,He’s Hired! Ben Affleck Enlists Best Friend Matt Damon To Be His Life Coach,1,2,14,62,14,4.4,22,100,0
16834,Full statement: John McCain to vote no on Graham-Cassidy health care bill,1,2,6,62,12,5.2,9,50,0
16835,Justin Bieber Despacito,1,0,3,21,3,7.0,14,100,0
16836,Julia Roberts miracle baby at 50,1,0,2,27,6,4.5,7,33,0
16837,Beyonce Sipping Tea Listening To Taylor Swift’s Album: Why She’s Loving The Kanye West Diss Tracks,1,3,16,83,16,5.2,19,100,0
16838,"Blake Shelton, Gwen Stefani Talk 'Hookup' on 'The Voice'",1,4,8,48,9,5.3,16,88,0
16839,Miranda Lambert Desperate To Meet With Blake Shelton After His Reported Split From Gwen Stefani,1,0,15,81,15,5.4,18,100,0
16840,Pregnant Kate Middleton Hit With Cocaine Bombshell,1,0,7,44,7,6.3,15,100,0
16841,Jen Aniston’s Split From Justin Theroux – What Brad Pitt Really Thinks About It,1,1,13,66,14,4.7,19,92,0
16842,Emmys 2017: What the Nominees Are Saying,1,1,5,34,7,4.9,14,71,0
16843,"Caitlyn Jenner Slams the Kardashians, Says She Didn't Trust Them to Know About Her Gender Reassignment Surgery",1,1,15,94,17,5.5,15,88,0
16844,Chris Brown does not want Royalty to be like North West,1,0,5,45,11,4.1,11,45,0
16845,"7 Questionable Details About Taylor Swift And Joe Alwyn's Relationship, Including Her ""Military-Like Mission"" To Keep It Under Wraps",1,4,19,115,19,6.1,16,100,0
